"Yrkesområde","SSYK 2012","Yrkesgrupp","Yrkesbenämning"
"Administration, ekonomi, juridik","2122","Statistiker","Biostatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Demograf"
"Administration, ekonomi, juridik","2122","Statistiker","Matematisk statistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Metodstatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Miljöstatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Statistiker"
"Administration, ekonomi, juridik","2164","Lantmätare","Civilingenjör, lantmäteri"
"Administration, ekonomi, juridik","2164","Lantmätare","Exploateringsingenjör"
"Administration, ekonomi, juridik","2164","Lantmätare","Lantmätare"
"Administration, ekonomi, juridik","2164","Lantmätare","Markförhandlare"
"Administration, ekonomi, juridik","2411","Revisorer m.fl.","Revisor"
"Administration, ekonomi, juridik","2411","Revisorer m.fl.","Skatterådgivare"
"Administration, ekonomi, juridik","2412","Controller","Accounting controller"
"Administration, ekonomi, juridik","2412","Controller","AML-Specialist"
"Administration, ekonomi, juridik","2412","Controller","Budgetplanerare"
"Administration, ekonomi, juridik","2412","Controller","Business controller"
"Administration, ekonomi, juridik","2412","Controller","Controller"
"Administration, ekonomi, juridik","2412","Controller","Finansiell controller"
"Administration, ekonomi, juridik","2412","Controller","HR-controller"
"Administration, ekonomi, juridik","2412","Controller","Koncerncontroller"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Aktieanalytiker"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finansanalytiker"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finansekonom"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finanskonsult"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Företagsrådgivare"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Kreditchef"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Placeringsrådgivare"
"Administration, ekonomi, juridik","2414","Traders och fondförvaltare","Fondförvaltare/Portföljförvaltare"
"Administration, ekonomi, juridik","2414","Traders och fondförvaltare","Trader"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Forskare, ekonomi"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Forskningsassistent, ekonomi"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Hälsoekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Makroanalytiker"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Miljöekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Nationalekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Samhällsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Budget- och skuldrådgivare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Budgetsekreterare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Fastighetsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Fastighetsutvecklare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Förvaltningsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Produktionsekonom"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsanalytiker/Business analyst"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsarkitekt"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsutvecklare"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Civilingenjör, organisationsutveckling"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Ekonomikonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Företagskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Kvalitetsrevisor"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Kvalitetssamordnare/Kvalitetskoordinator"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Organisationskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Organisationsutvecklare"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsanalytiker"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsarkitekt"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Akademisekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Ambassadsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Antagningssekreterare, utbildning"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Arkivutredare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Attaché"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Beredskapssamordnare/Krisberedskapssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Civil brottsutredare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dataskyddsombud"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Departementssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Destinationsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dövblindkonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dövkonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","EU-handläggare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsoplanerare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsostrateg"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsoutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Förbundssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Föreningskonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Förhandlingssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Friluftssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Fritidssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","GIS-samordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Hållbarhetsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Hälsoplanerare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Handläggare, intresseorganisation"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Handläggare, offentlig förvaltning/Utredare, offentlig förvaltning"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Informationssäkerhetssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Inspektör, IVO (Inspektionen för vård och omsorg)"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Klimatanpassningssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Kommunhandläggare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Kommunsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Konsumentvägledare"
